customer_no,Prediction,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed
15725,yes,36,technician,married,basic.4y,no,no,no,cellular,jul,mon,854,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1
28030,no,39,services,married,high.school,no,no,no,cellular,apr,thu,598,2,999,2,failure,-1.8,93.075,-47.1,1.483,5099.1
17730,no,54,management,married,university.degree,no,no,yes,cellular,jul,tue,218,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1
15377,no,43,blue-collar,married,basic.9y,no,yes,no,cellular,jul,fri,226,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.957,5228.1
7763,no,26,management,single,university.degree,no,no,no,telephone,jun,mon,72,3,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1
23766,no,45,admin.,married,university.degree,no,no,no,telephone,aug,thu,58,3,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1
22241,no,42,admin.,married,university.degree,no,yes,no,cellular,aug,thu,168,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1
96,no,42,management,married,university.degree,no,no,no,telephone,may,mon,426,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
23166,no,32,admin.,divorced,university.degree,no,no,no,cellular,aug,tue,74,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1
5664,no,56,blue-collar,married,basic.4y,unknown,no,no,telephone,may,mon,136,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
33710,no,42,blue-collar,married,basic.4y,no,yes,no,cellular,may,wed,172,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.281,5099.1
111,no,58,unemployed,married,basic.4y,unknown,no,no,telephone,may,mon,849,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
36249,yes,52,admin.,single,university.degree,no,yes,no,cellular,jun,mon,327,1,999,0,nonexistent,-2.9,92.963,-40.8,1.266,5076.2
17747,no,46,admin.,married,university.degree,unknown,yes,no,cellular,jul,tue,112,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1
35662,no,37,admin.,divorced,university.degree,unknown,yes,no,cellular,may,mon,230,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.244,5099.1
3325,no,53,retired,divorced,high.school,no,no,yes,telephone,may,thu,504,5,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0
31140,no,31,blue-collar,single,high.school,no,yes,no,cellular,may,wed,291,1,999,0,nonexistent,-1.8,92.89299999999999,-46.2,1.334,5099.1
14944,yes,34,admin.,married,university.degree,no,no,no,cellular,jul,wed,781,2,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.957,5228.1
17476,no,51,technician,married,basic.9y,unknown,yes,no,cellular,jul,mon,114,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1
7985,no,39,services,divorced,high.school,unknown,yes,no,telephone,jun,mon,241,5,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1
26626,no,31,admin.,married,university.degree,no,no,no,cellular,nov,thu,211,1,999,0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8
6484,no,35,blue-collar,married,basic.6y,no,no,no,telephone,may,wed,39,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
17730,no,54,management,married,university.degree,no,no,yes,cellular,jul,tue,218,1,999,0,nonexistent,1.4,93.91799999999999,-42.7,4.961,5228.1
30255,no,56,entrepreneur,married,university.degree,no,no,no,cellular,apr,thu,24,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1
6648,yes,54,technician,married,professional.course,no,no,no,telephone,may,wed,796,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0
